% Model:              electrostatically actuated reflector 50-cm.mph
% Version:            COMSOL 6.3.0.335
% Date:               Jun 9 2025, 23:48
% Dimension:          1
% Nodes:              674
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Displacement field, Z-component
-0.127498218495134        -17.65552802601724
-0.12430130887935784      -17.998125356567538
-0.12389130854118612      -18.041573576953734
-0.12217783294987038      -18.218882324777276
-0.12028307614552203      -18.413407488685717
-0.11982956093677041      -18.458838336277665
-0.1166735288900618       -18.77122804195243
-0.11535578210722133      -18.89838221286636
-0.11306273854407632      -19.116912286366485
-0.11088006906272896      -19.31949687530655
-0.10936353191901627      -19.458227246350987
-0.10674892277181366      -19.689103188047767
-0.10552972624800273      -19.79580142936143
-0.10286833688307148      -20.01970969908384
-0.10266158330517845      -20.03679325356595
-0.10200786550821095      -20.089170424488778
-0.09979255790781304      -20.26488906675464
-0.09909170749398497      -20.318725672558386
-0.09692271348748563      -20.482078605316637
-0.09531367739813282      -20.599232987040992
-0.09405207660067999      -20.689194902650556
-0.09153428733173988      -20.862436138571514
-0.09118064724669103      -20.88623794125817
-0.09006246642821779      -20.95870265715562
-0.0881477309157278       -21.081468922237285
-0.08721671709318353      -21.139300811505933
-0.08652129447761797      -21.181711803736118
-0.0862339192778467       -21.199143218275385
-0.08478666334721224      -21.285451393959924
-0.08378242915491026      -21.345009760356042
-0.08305190552831868      -21.387588903973718
-0.08133068389953478      -21.487346424241892
-0.08131702102095667      -21.488124334839675
-0.08128395632149679      -21.489996053927793
-0.07958195633980669      -21.58434955911987
-0.07887860616422288      -21.623110275484624
-0.07784676393123405      -21.678920099469188
-0.07564667434969408      -21.798133841090255
-0.07550285824476691      -21.805773224582744
-0.07538600902060087      -21.81195744608333
-0.07315876274957675      -21.927803233157505
-0.07113724788324849      -22.03255561274834
-0.0706716648728295       -22.05631299469606
-0.06835597940231827      -22.171782527308103
-0.06728910667155871      -22.22487034416343
-0.06707459199071984      -22.23529518630516
-0.06390623487440558      -22.38695298209551
-0.06301149226968754      -22.42874080130605
-0.060523058321224385     -22.54314136135008
-0.05939198197661213      -22.593494005278153
-0.05677528838823097      -22.70909302523448
-0.05647373441867431      -22.721871744025943
-0.05541291935571371      -22.766464545391663
-0.053555249991916895     -22.843979906381954
-0.05302715456910944      -22.865836418177718
-0.050636536647205826     -22.960472515326153
-0.04940332795007736      -23.00876542358692
-0.04765186046615803      -23.074359520574767
-0.045998679651088545     -23.135500192883214
-0.04466697230177441      -23.18247551338105
-0.042593742817616256     -23.254639035702183
-0.04168187215474323      -23.284820527003628
-0.03918851744925252      -23.366181934207248
-0.038521094896303044     -23.38643081622929
-0.03451138512775455      -23.50590391943946
-0.03447069101160104      -23.506998154499318
-0.03420767276369388      -23.513927742563563
-0.03041992768313105      -23.613194859907406
-0.03007670469475501      -23.621908650662544
-0.029435234950287114     -23.637693015540428
-0.02733717914848409      -23.685139985091308
-0.02621454722371174      -23.70965077458636
-0.024597531693910213     -23.74336526928826
-0.022008900034277645     -23.795315293213044
-0.021857771289099714     -23.798199596558227
-0.02157531495789379      -23.803369642942926
-0.019117863622274654     -23.843456701198832
-0.017313748595652396     -23.870869885322545
-0.015931744678123996     -23.89054371788851
-0.014228223819260106     -23.9127263034105
-0.012745547117298027     -23.929062148555733
-0.011542721143253224     -23.94085438483105
-0.009559267531688715     -23.958397508637773
-0.007114320897781251     -23.977054328726194
-0.0063729207664428925    -23.981226327451935
-0.005771470338200917     -23.98388071332492
-0.0031864805398600137    -23.99281006754743
3.818204043879674E-9      -23.999949355143535
1.5779677710437446E-8     -23.999949371811788
3.433783997249955E-8      -23.99994936167312
0.0037654747965981776     -23.99232290816276
0.006851735715267914      -23.978820655162615
0.007530826679144514      -23.974991049387324
0.00835935760558825       -23.968371864966375
0.011296047662249559      -23.944448620127478
0.013703013358650422      -23.91918459778953
0.015061153527736123      -23.903211874574215
0.0167181638907876        -23.879830147796703
0.01882613469632717       -23.849753501498693
0.020553867269129826      -23.821041613243494
0.022590994544222042      -23.78461180462211
0.024219495712639375      -23.75299167750761
0.02499041876796349       -23.737593626280702
0.0255915788421825        -23.72516828395846
0.027389732737857667      -23.68508456014564
0.029695528495520915      -23.632080976155656
0.029788953995402594      -23.629881367658303
0.029861808184137428      -23.628115413132385
0.03218805725768887       -23.567952989888685
0.03413173259503657       -23.516332657269476
0.034764611078462196      -23.49857908002993
0.037815790868643354      -23.409299965125353
0.03809883979532925       -23.400640496834512
0.04024716542196917       -23.332634997317605
0.04136700923586761       -23.29622579922507
0.04257417852798885       -23.255934779921727
0.04463492543420139       -23.18538678794021
0.04490106936761485       -23.17604566992046
0.04555920231908416       -23.15238194319101
0.047227818815583675      -23.091641097303658
0.04790257342537722       -23.066499815331042
0.04955443845379898       -23.00352441137278
0.052310611666328374      -22.893577432045376
0.05412092889303392       -22.820384172383807
0.05788428902841509       -22.660228360471056
0.05868687073771772       -22.625639713464597
0.06232364792667885       -22.461174875736553
0.0632522605827256        -22.41905483957181
0.0634571726610515        -22.40932469091795
0.06719028287842836       -22.230216749837155
0.06952375962049287       -22.11443553932878
0.07109845921200525       -22.035588936616165
0.07395013274150616       -21.888127457143412
0.0750062318060219        -21.832869947600713
0.07526103288254661       -21.81946484132814
0.07680368767861137       -21.736675542881045
0.07791105746961681       -21.677118133523848
0.0786010366641093        -21.63927996820814
0.0800555610948602        -21.559345667952257
0.08039826781789162       -21.540102742041945
0.08056082804565892       -21.530956130434188
0.0821953456351375        -21.43726075767671
0.08321029893215959       -21.378962694176266
0.08399231656516584       -21.333217596021445
0.0856408691398444        -21.23659178962844
0.08577337170893898       -21.228683057289587
0.08602327228834819       -21.21342613166782
0.08853482360692355       -21.058194433134037
0.0893837864367177        -21.00375447678522
0.09127768213366119       -20.879687686937984
0.09305352055365715       -20.75923562192411
0.0940198666879269        -20.692352440999993
0.09672205954173553       -20.49905566949013
0.09676137726970915       -20.496188694988653
0.09687766193164747       -20.48743940038762
0.09950209749465637       -20.287367798274
0.10038922237163628       -20.217677281392106
0.10224213859131637       -20.06954879071008
0.10420978745470491       -19.904882866906334
0.10596813972653388       -19.75683712118755
0.10818704256097889       -19.562273938864433
0.1096771207465087        -19.42965005790576
0.11299283459436141       -19.12616641643544
0.11336183595030914       -19.09183411968697
0.11457500982885443       -18.9758941742964
0.11704508866884464       -18.737091297616793
0.11779614304475855       -18.66258153361451
0.1207269526834154        -18.367389344248416
0.12259706842205575       -18.174297845047107
0.12440749918301797       -17.984626868699927
0.12757654925169412       -17.64872989019618
0.12764194992356193       -17.641667509599152
0.12775603824074488       -17.629283901470927
0.13087532967421667       -17.28554337344105
